code,type,count,description,Group,Larger group
62920,Diagnosis,12,"Female genital mutilation status, unspecified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
9554,Diagnosis,12,Injury to musculocutaneous nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
81010,Diagnosis,12,"Open fracture of clavicle, unspecified part",Injury And Poisoning,"Injury, Poisoning & External Causes"
5253,Diagnosis,12,Retained dental root,Diseases Of The Digestive System,Diseases Of The Digestive System
8602,Diagnosis,12,Traumatic hemothorax without mention of open wound into thorax,Injury And Poisoning,"Injury, Poisoning & External Causes"
5258,Diagnosis,12,Other specified disorders of the teeth and supporting structures,Diseases Of The Digestive System,Diseases Of The Digestive System
4231,Diagnosis,12,Adhesive pericarditis,Diseases Of The Circulatory System,Diseases Of The Circulatory System
37141,Diagnosis,12,Senile corneal changes,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9752,Diagnosis,12,Poisoning by skeletal muscle relaxants,Injury And Poisoning,"Injury, Poisoning & External Causes"
31239,Diagnosis,12,Other disorders of impulse control,Mental Disorders,Mental Disorders
539,Procedure,11,Other hernia repair,Operations on the digestive system,Procedures & Surgeries
81354,Diagnosis,11,Open fracture of lower end of radius with ulna,Injury And Poisoning,"Injury, Poisoning & External Causes"
3341,Diagnosis,11,Hereditary spastic paraplegia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
74760,Diagnosis,11,"Anomaly of the peripheral vascular system, unspecified site",Congenital Anomalies,Congenital Anomalies
7509,Diagnosis,11,Unspecified anomaly of upper alimentary tract,Congenital Anomalies,Congenital Anomalies
6982,Diagnosis,11,Prurigo,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
74689,Diagnosis,11,Other specified congenital anomalies of heart,Congenital Anomalies,Congenital Anomalies
37021,Diagnosis,11,Punctate keratitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
30752,Diagnosis,11,Pica,Mental Disorders,Mental Disorders
9530,Diagnosis,11,Injury to cervical nerve root,Injury And Poisoning,"Injury, Poisoning & External Causes"
3849,Diagnosis,11,Unspecified disorder of tympanic membrane,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
5831,Diagnosis,11,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
9930,Diagnosis,11,"Barotrauma, otitic",Injury And Poisoning,"Injury, Poisoning & External Causes"
3739,Diagnosis,11,Unspecified inflammation of eyelid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V1050,Diagnosis,11,"Personal history of malignant neoplasm of urinary organ, unspecified",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
37143,Diagnosis,11,Band-shaped keratopathy,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
937,Diagnosis,11,Foreign body in anus and rectum,Injury And Poisoning,"Injury, Poisoning & External Causes"
56738,Diagnosis,11,Other retroperitoneal abscess,Diseases Of The Digestive System,Diseases Of The Digestive System
87352,Diagnosis,11,"Open wound of forehead, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
83942,Diagnosis,11,"Closed dislocation, sacrum",Injury And Poisoning,"Injury, Poisoning & External Causes"
83921,Diagnosis,11,"Closed dislocation, thoracic vertebra",Injury And Poisoning,"Injury, Poisoning & External Causes"
20521,Diagnosis,11,"Subacute myeloid leukemia,in remission",Neoplasms,Neoplasms
47411,Diagnosis,11,Hypertrophy of tonsils alone,Diseases Of The Respiratory System,Diseases Of The Respiratory System
41032,Diagnosis,11,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",Diseases Of The Circulatory System,Diseases Of The Circulatory System
20024,Diagnosis,11,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb",Neoplasms,Neoplasms
53150,Diagnosis,11,"Chronic or unspecified gastric ulcer with perforation, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
36970,Diagnosis,11,"Moderate or severe impairment, one eye, impairment level not further specified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
83104,Diagnosis,11,Closed dislocation of acromioclavicular (joint),Injury And Poisoning,"Injury, Poisoning & External Causes"
29980,Diagnosis,11,"Other specified pervasive developmental disorders, current or active state",Mental Disorders,Mental Disorders
7171,Diagnosis,11,Derangement of anterior horn of medial meniscus,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
36841,Diagnosis,11,Scotoma involving central area,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
8794,Diagnosis,11,"Open wound of abdominal wall, lateral, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
5832,Diagnosis,11,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranoproliferative glomerulonephritis",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
37433,Diagnosis,11,Mechanical ptosis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
E9327,Diagnosis,11,Thyroid and thyroid derivatives causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
6242,Diagnosis,11,Hypertrophy of clitoris,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
81213,Diagnosis,11,Open fracture of greater tuberosity of humerus,Injury And Poisoning,"Injury, Poisoning & External Causes"
4211,Diagnosis,11,Acute and subacute infective endocarditis in diseases classified elsewhere,Diseases Of The Circulatory System,Diseases Of The Circulatory System
99585,Diagnosis,11,Other adult abuse and neglect,Injury And Poisoning,"Injury, Poisoning & External Causes"
20088,Diagnosis,11,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites",Neoplasms,Neoplasms
69461,Diagnosis,11,Benign mucous membrane pemphigoid with ocular involvement,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
6229,Diagnosis,11,Unspecified noninflammatory disorder of cervix,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
06642,Diagnosis,11,West Nile Fever with other neurologic manifestation,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
0729,Diagnosis,11,Mumps without mention of complication,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
36043,Diagnosis,11,"Hemophthalmos, except current injury",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9071,Diagnosis,11,Late effect of injury to cranial nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
1901,Diagnosis,11,Malignant neoplasm of orbit,Neoplasms,Neoplasms
36441,Diagnosis,11,Hyphema of iris and ciliary body,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20008,Diagnosis,11,"Reticulosarcoma, lymph nodes of multiple sites",Neoplasms,Neoplasms
36264,Diagnosis,11,Senile reticular degeneration,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
79502,Diagnosis,11,Papanicolaou smear of cervix with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H),"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
36104,Diagnosis,11,"Recent retinal detachment, partial, with retinal dialysis",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
62921,Diagnosis,11,Female genital mutilation Type I status,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
9060,Diagnosis,11,"Late effect of open wound of head, neck, and trunk",Injury And Poisoning,"Injury, Poisoning & External Causes"
81418,Diagnosis,11,Open fracture of hamate [unciform] bone of wrist,Injury And Poisoning,"Injury, Poisoning & External Causes"
8301,Diagnosis,11,Open dislocation of jaw,Injury And Poisoning,"Injury, Poisoning & External Causes"
81330,Diagnosis,11,"Open fracture of shaft of radius or ulna, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
81411,Diagnosis,11,Open fracture of navicular [scaphoid] bone of wrist,Injury And Poisoning,"Injury, Poisoning & External Causes"
9550,Diagnosis,11,Injury to axillary nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
9086,Diagnosis,11,Late effect of certain complications of trauma,Injury And Poisoning,"Injury, Poisoning & External Causes"
6925,Diagnosis,11,Contact dermatitis and other eczema due to food in contact with skin,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
1439,Diagnosis,11,"Malignant neoplasm of gum, unspecified",Neoplasms,Neoplasms
1455,Diagnosis,11,"Malignant neoplasm of palate, unspecified",Neoplasms,Neoplasms
37950,Diagnosis,11,"Nystagmus, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
34432,Diagnosis,11,Monoplegia of lower limb affecting nondominant side,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
E8869,Diagnosis,11,"Other and unspecified falls on same level from collision, pushing, or shoving, by or with other person",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
1704,Diagnosis,11,Malignant neoplasm of scapula and long bones of upper limb,Neoplasms,Neoplasms
1608,Diagnosis,11,Malignant neoplasm of other accessory sinuses,Neoplasms,Neoplasms
20247,Diagnosis,11,"Leukemic reticuloendotheliosis, spleen",Neoplasms,Neoplasms
1464,Diagnosis,11,Malignant neoplasm of anterior aspect of epiglottis,Neoplasms,Neoplasms
87330,Diagnosis,11,"Open wound of nose, unspecified site, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
3803,Procedure,11,"Incision of vessel, upper limb vessels",Operations on the cardiovascular system,Procedures & Surgeries
72,Procedure,11,"Forceps, vacuum, and breech delivery",Obstetrical procedures,Procedures & Surgeries
69551,Diagnosis,11,Exfoliation due to erythematous condition involving 10-19 percent of body surface,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
87402,Diagnosis,11,"Open wound of trachea, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
20222,Diagnosis,11,"Sezary's disease, intrathoracic lymph nodes",Neoplasms,Neoplasms
07421,Diagnosis,11,Coxsackie pericarditis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
87321,Diagnosis,11,"Open wound of nasal septum, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
E8150,Diagnosis,11,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
05320,Diagnosis,11,Herpes zoster dermatitis of eyelid,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
38015,Diagnosis,11,Chronic mycotic otitis externa,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
7590,Diagnosis,11,Anomalies of spleen,Congenital Anomalies,Congenital Anomalies
V1088,Diagnosis,11,Personal history of malignant neoplasm of other endocrine glands and related structures,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
37189,Diagnosis,11,Other corneal disorders,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
31203,Diagnosis,11,"Undersocialized conduct disorder, aggressive type, severe",Mental Disorders,Mental Disorders
33372,Diagnosis,11,Acute dystonia due to drugs,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V5425,Diagnosis,11,Aftercare for healing pathologic fracture of upper leg,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
1604,Diagnosis,11,Malignant neoplasm of frontal sinus,Neoplasms,Neoplasms
81315,Diagnosis,11,Open fracture of head of radius,Injury And Poisoning,"Injury, Poisoning & External Causes"
38523,Diagnosis,11,Discontinuity or dislocation of ear ossicles,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
82390,Diagnosis,11,Open fracture of unspecified part of tibia alone,Injury And Poisoning,"Injury, Poisoning & External Causes"
36221,Diagnosis,11,Retrolental fibroplasia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
0728,Diagnosis,11,Mumps with unspecified complication,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
6225,Diagnosis,11,Incompetence of cervix,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
6060,Diagnosis,11,Azoospermia,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
0791,Diagnosis,11,Echo virus infection in conditions classified elsewhere and of unspecified site,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
20720,Diagnosis,11,"Megakaryocytic leukemia, without mention of having achieved remission",Neoplasms,Neoplasms
80716,Diagnosis,11,Open fracture of six ribs,Injury And Poisoning,"Injury, Poisoning & External Causes"
9510,Diagnosis,11,Injury to oculomotor nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
81511,Diagnosis,11,Open fracture of base of thumb [first] metacarpal,Injury And Poisoning,"Injury, Poisoning & External Causes"
05419,Diagnosis,11,Other genital herpes,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
83400,Diagnosis,11,"Closed dislocation of finger, unspecified part",Injury And Poisoning,"Injury, Poisoning & External Causes"
E9800,Diagnosis,11,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
41052,Diagnosis,11,"Acute myocardial infarction of other lateral wall, subsequent episode of care",Diseases Of The Circulatory System,Diseases Of The Circulatory System
20270,Diagnosis,11,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites",Neoplasms,Neoplasms
9391,Diagnosis,11,"Foreign body in uterus, any part",Injury And Poisoning,"Injury, Poisoning & External Causes"
6022,Diagnosis,11,Atrophy of prostate,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
36402,Diagnosis,11,Recurrent iridocyclitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
69519,Diagnosis,11,Other erythema multiforme,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
20051,Diagnosis,11,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck",Neoplasms,Neoplasms
1458,Diagnosis,11,Malignant neoplasm of other specified parts of mouth,Neoplasms,Neoplasms
73602,Diagnosis,11,Cubitus varus (acquired),Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
20224,Diagnosis,11,"Sezary's disease, lymph nodes of axilla and upper limb",Neoplasms,Neoplasms
9519,Diagnosis,11,Injury to unspecified cranial nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
71298,Diagnosis,11,"Unspecified crystal arthropathy, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
87372,Diagnosis,11,"Open wound of gum (alveolar process), complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
8399,Diagnosis,11,"Open dislocation, multiple and ill-defined sites",Injury And Poisoning,"Injury, Poisoning & External Causes"
80715,Diagnosis,11,Open fracture of five ribs,Injury And Poisoning,"Injury, Poisoning & External Causes"
9948,Diagnosis,11,Electrocution and nonfatal effects of electric current,Injury And Poisoning,"Injury, Poisoning & External Causes"
37024,Diagnosis,11,Photokeratitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9568,Diagnosis,11,Injury to multiple nerves of pelvic girdle and lower limb,Injury And Poisoning,"Injury, Poisoning & External Causes"
20027,Diagnosis,11,"Burkitt's tumor or lymphoma, spleen",Neoplasms,Neoplasms
2310,Diagnosis,11,Carcinoma in situ of larynx,Neoplasms,Neoplasms
36910,Diagnosis,11,"Moderate or severe impairment, better eye, impairment level not further specified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
6198,Diagnosis,11,Other specified fistulas involving female genital tract,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
53531,Diagnosis,11,"Alcoholic gastritis, with hemorrhage",Diseases Of The Digestive System,Diseases Of The Digestive System
33392,Diagnosis,11,Neuroleptic malignant syndrome,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71835,Diagnosis,11,"Recurrent dislocation of joint, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
53330,Diagnosis,11,"Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
V1000,Diagnosis,11,"Personal history of malignant neoplasm of gastrointestinal tract, unspecified",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
37420,Diagnosis,11,"Lagophthalmos, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
E9055,Diagnosis,11,Other venomous arthropods causing poisoning and toxic reactions,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
20520,Diagnosis,11,"Subacute myeloid leukemia, without mention of having achieved remission",Neoplasms,Neoplasms
99981,Diagnosis,11,Extravasation of vesicant chemotherapy,Injury And Poisoning,"Injury, Poisoning & External Causes"
9548,Diagnosis,11,"Injury to other specified nerve(s) of trunk, excluding shoulder and pelvic girdles",Injury And Poisoning,"Injury, Poisoning & External Causes"
3817,Diagnosis,11,Patulous Eustachian tube,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
81013,Diagnosis,11,Open fracture of acromial end of clavicle,Injury And Poisoning,"Injury, Poisoning & External Causes"
20047,Diagnosis,11,"Mantle cell lymphoma, spleen",Neoplasms,Neoplasms
03282,Diagnosis,11,Diphtheritic myocarditis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
20272,Diagnosis,11,"Peripheral T cell lymphoma, intrathoracic lymph nodes",Neoplasms,Neoplasms
3920,Diagnosis,11,Rheumatic chorea with heart involvement,Diseases Of The Circulatory System,Diseases Of The Circulatory System
2594,Diagnosis,11,"Dwarfism, not elsewhere classified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
1916,Diagnosis,11,Malignant neoplasm of cerebellum nos,Neoplasms,Neoplasms
36801,Diagnosis,11,Strabismic amblyopia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
83402,Diagnosis,11,"Closed dislocation of interphalangeal (joint), hand",Injury And Poisoning,"Injury, Poisoning & External Causes"
3068,Diagnosis,11,Other specified psychophysiological malfunction,Mental Disorders,Mental Disorders
8795,Diagnosis,11,"Open wound of abdominal wall, lateral, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
3445,Diagnosis,11,Unspecified monoplegia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
1463,Diagnosis,11,Malignant neoplasm of vallecula epiglottica,Neoplasms,Neoplasms
6217,Diagnosis,11,Chronic inversion of uterus,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
07423,Diagnosis,11,Coxsackie myocarditis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
60881,Diagnosis,11,Disorders of male genital organs in diseases classified elsewhere,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
20492,Diagnosis,11,"Unspecified lymphoid leukemia, in relapse",Neoplasms,Neoplasms
6226,Diagnosis,11,Hypertrophic elongation of cervix,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
71216,Diagnosis,11,"Chondrocalcinosis, due to dicalcium phosphate crystals, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
87339,Diagnosis,11,"Open wound of multiple sites of nose, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
38302,Diagnosis,11,Acute mastoiditis with other complications,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
87264,Diagnosis,11,"Open wound of cochlea, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
20242,Diagnosis,11,"Leukemic reticuloendotheliosis, intrathoracic lymph nodes",Neoplasms,Neoplasms
0415,Diagnosis,11,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
V0991,Diagnosis,11,"Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
62,Procedure,11,Operations on testes,Operations on the male genital organs,Procedures & Surgeries
741,Procedure,11,Low cervical cesarean section,Obstetrical procedures,Procedures & Surgeries
1400,Diagnosis,11,"Malignant neoplasm of upper lip, vermilion border",Neoplasms,Neoplasms
5278,Diagnosis,11,Other specified diseases of the salivary glands,Diseases Of The Digestive System,Diseases Of The Digestive System
1958,Diagnosis,11,Malignant neoplasm of other specified sites,Neoplasms,Neoplasms
37941,Diagnosis,11,Anisocoria,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20621,Diagnosis,11,"Subacute monocytic leukemia, in remission",Neoplasms,Neoplasms
3155,Diagnosis,11,Mixed development disorder,Mental Disorders,Mental Disorders
2561,Diagnosis,11,Other ovarian hyperfunction,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
E9262,Diagnosis,11,Exposure to visible and ultraviolet light sources,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
20882,Diagnosis,11,"Other leukemia of unspecified cell type, in relapse",Neoplasms,Neoplasms
20063,Diagnosis,11,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes",Neoplasms,Neoplasms
38582,Diagnosis,11,Cholesterin granuloma of middle ear and mastoid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
36266,Diagnosis,11,Secondary vitreoretinal degenerations,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20076,Diagnosis,11,"Large cell lymphoma, intrapelvic lymph nodes",Neoplasms,Neoplasms
81312,Diagnosis,11,Open fracture of coronoid process of ulna,Injury And Poisoning,"Injury, Poisoning & External Causes"
20215,Diagnosis,11,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",Neoplasms,Neoplasms
33524,Diagnosis,11,Primary lateral sclerosis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20002,Diagnosis,11,"Reticulosarcoma, intrathoracic lymph nodes",Neoplasms,Neoplasms
81613,Diagnosis,11,Open fracture of multiple sites of phalanx or phalanges of hand,Injury And Poisoning,"Injury, Poisoning & External Causes"
1838,Diagnosis,11,Malignant neoplasm of other specified sites of uterine adnexa,Neoplasms,Neoplasms
62401,Diagnosis,11,Vulvar intraepithelial neoplasia I [VIN I],Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
73819,Diagnosis,11,Other specified acquired deformity of head,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
3070,Diagnosis,11,Adult onset fluency disorder,Mental Disorders,Mental Disorders
7424,Diagnosis,11,Other specified congenital anomalies of brain,Congenital Anomalies,Congenital Anomalies
V409,Diagnosis,11,Unspecified mental or behavioral problem,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
9722,Diagnosis,11,Poisoning by antilipemic and antiarteriosclerotic drugs,Injury And Poisoning,"Injury, Poisoning & External Causes"
1601,Diagnosis,11,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells",Neoplasms,Neoplasms
05313,Diagnosis,11,Postherpetic polyneuropathy,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
6249,Diagnosis,11,Unspecified noninflammatory disorder of vulva and perineum,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
79539,Diagnosis,10,Other nonspecific positive culture findings,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
75982,Diagnosis,10,Marfan syndrome,Congenital Anomalies,Congenital Anomalies
6040,Diagnosis,10,"Orchitis, epididymitis, and epididymo-orchitis, with abscess",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
475,Diagnosis,10,Peritonsillar abscess,Diseases Of The Respiratory System,Diseases Of The Respiratory System
3124,Diagnosis,10,Mixed disturbance of conduct and emotions,Mental Disorders,Mental Disorders
2190,Diagnosis,10,Benign neoplasm of cervix uteri,Neoplasms,Neoplasms
71805,Diagnosis,10,"Articular cartilage disorder, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
83209,Diagnosis,10,"Closed dislocation of elbow, other",Injury And Poisoning,"Injury, Poisoning & External Causes"
8790,Diagnosis,10,"Open wound of breast, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
37020,Diagnosis,10,"Superficial keratitis, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
1920,Diagnosis,10,Malignant neoplasm of cranial nerves,Neoplasms,Neoplasms
07998,Diagnosis,10,Unspecified chlamydial infection,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
73096,Diagnosis,10,"Unspecified infection of bone, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
53250,Diagnosis,10,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
38013,Diagnosis,10,Other acute infections of external ear,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
36904,Diagnosis,10,Better eye: near-total vision impairment; lesser eye: near-total vision impairment,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
37721,Diagnosis,10,Drusen of optic disc,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V430,Diagnosis,10,Eye globe replaced by other means,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71196,Diagnosis,10,"Unspecified infective arthritis, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1952,Diagnosis,10,Malignant neoplasm of abdomen,Neoplasms,Neoplasms
1760,Diagnosis,10,"Kaposi's sarcoma, skin",Neoplasms,Neoplasms
27419,Diagnosis,10,Other gouty nephropathy,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
8701,Diagnosis,10,"Laceration of eyelid, full-thickness, not involving lacrimal passages",Injury And Poisoning,"Injury, Poisoning & External Causes"
8784,Diagnosis,10,"Open wound of vulva, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
3069,Diagnosis,10,Unspecified psychophysiological malfunction,Mental Disorders,Mental Disorders
87354,Diagnosis,10,"Open wound of jaw, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
33391,Diagnosis,10,Stiff-man syndrome,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
36811,Diagnosis,10,Sudden visual loss,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V6103,Diagnosis,10,Family disruption due to divorce or legal separation,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
1456,Diagnosis,10,Malignant neoplasm of retromolar area,Neoplasms,Neoplasms
30303,Diagnosis,10,"Acute alcoholic intoxication in alcoholism, in remission",Mental Disorders,Mental Disorders
932,Diagnosis,10,Foreign body in nose,Injury And Poisoning,"Injury, Poisoning & External Causes"
9273,Diagnosis,10,Crushing injury of finger(s),Injury And Poisoning,"Injury, Poisoning & External Causes"
1708,Diagnosis,10,Malignant neoplasm of short bones of lower limb,Neoplasms,Neoplasms
38522,Diagnosis,10,Impaired mobility of other ear ossicles,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
99553,Diagnosis,10,Child sexual abuse,Injury And Poisoning,"Injury, Poisoning & External Causes"
V156,Diagnosis,10,"Personal history of poisoning, presenting hazards to health",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
6061,Diagnosis,10,Oligospermia,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
6952,Diagnosis,10,Erythema nodosum,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
87202,Diagnosis,10,"Open wound of auditory canal, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
8713,Diagnosis,10,Avulsion of eye,Injury And Poisoning,"Injury, Poisoning & External Causes"
1488,Diagnosis,10,Malignant neoplasm of other specified sites of hypopharynx,Neoplasms,Neoplasms
83300,Diagnosis,10,"Closed dislocation of wrist, unspecified part",Injury And Poisoning,"Injury, Poisoning & External Causes"
1430,Diagnosis,10,Malignant neoplasm of upper gum,Neoplasms,Neoplasms
